ID,Label,Age,Income,Job Type,Tax Classification
88,Unknown,64.0,725000.0,Owner,Low
89,Unknown,21.0,343000.0,Owner,Low
90,Unknown,27.0,327000.0,VP,High
91,Unknown,31.0,486000.0,Chief Officier,High
92,Advisory,36.0,410000.0,Chief Officier,Low
93,Unknown,46.0,588000.0,Chief Officier,Medium
94,Unknown,56.99999999999999,698000.0,Owner,High
95,Unknown,52.0,594000.0,Chief Officier,Low
96,Unknown,,,Owner,High
97,Unknown,56.00000000000001,563999.9999999999,VP,Lod
98,Unknown,55.00000000000001,600000.0,Chief Officier,Low
99,Unknown,62.0,663000.0,VP,Medium
100,Unknown,34.0,390000.0,Chief Officier,Low
101,Unknown,67.0,804000.0,VP,Medium
102,Advisory,27.0,337000.0,VP,Medium
103,Unknown,67.0,716000.0,Vr,Medium
104,Unknown,32.0,407000.0,Chief Officier,Medium
105,Unknown,67.0,783000.0,Chief Officier,High
106,Unknown,42.0,470000.0,Chief Officier,Low
107,Unknown,55.00000000000001,620000.0,VP,High
108,Unknown,50.0,563999.9999999999,Chief Officier,High
109,Unknown,34.0,465000.0,Chief Officier,Low
110,Unknown,50.0,550000.0000000001,Chief Officier,Lod
111,Unknown,25.0,371000.0,Owner,Low
112,Advisory,27.0,285999.99999999994,VP,Medium
113,Unknown,43.0,511000.0,Chief Officier,Medium
114,Unknown,34.0,394000.0,Chief Officier,High
115,Unknown,43.0,532000.0,Chief Officier,Low
116,Unknown,,,Chief Officier,Medium
117,Unknown,33.0,493000.0,Chief Officier,High
118,Unknown,25.0,280000.00000000006,VP,Low
119,Unknown,66.0,750000.0,VP,Medium
120,Unknown,51.0,579999.9999999999,Chief Officier,Medium
121,Unknown,28.000000000000004,384000.0,Owner,High
122,Advisory,45.0,500000.0,Chief Officier,Low
123,Unknown,43.0,565999.9999999999,Chief Officier,Lod
124,Unknown,38.0,430000.0,Chief Officier,Low
125,Unknown,31.0,435000.0,Chief Officier,Low
126,Unknown,60.0,713000.0,Owner,High
127,Unknown,44.0,630000.0,Owner,Low
128,Unknown,27.0,294000.0,VP,Low
129,Unknown,,,Owner,Low
130,Unknown,29.0,300000.0,VP,Low
131,Unknown,56.00000000000001,637000.0,VP,High
132,Advisory,29.0,318000.0,VP,High
133,Unknown,52.0,2919999.9999999995,Chief Officier,Low
134,Unknown,49.0,557000.0000000001,Chief Officier,Medium
135,Unknown,29.0,2430000.0,Owner,Medium
136,Unknown,29.0,363000.0,Owner,High
137,Unknown,22.0,277000.00000000006,Chief Officier,Low
138,Unknown,50.0,550000.0000000001,Chief Officier,Low
139,Unknown,50.0,3145000.0,Owner,High
140,Unknown,55.00000000000001,625000.0,Owner,Low
141,Unknown,32.0,418000.0,Chief Officier,Medium
142,Advisory,40.0,524000.0,Owner,High
143,Unknown,20.0,301000.0,Chief Officier,Medium
144,Unknown,22.0,236000.0,VP,High
145,Unknown,22.0,1725000.0,Owner,Low
146,Unknown,59.0,667000.0,Owner,Low
147,Unknown,64.0,772000.0,VP,High
148,Unknown,29.0,335000.0,VP,Low
149,Unknown,34.0,432000.0,Chief Officier,Medium
150,Unknown,64.0,711000.0,Owner,Low
151,Unknown,29.0,413000.0,Owner,High
152,Advisory,63.0,706000.0,Owner,Medium
153,Unknown,,,Owner,Medium
154,Unknown,48.0,559000.0000000001,Chief Officier,Medium
155,Unknown,20.0,348000.0,Owner,Low
156,Unknown,34.0,428000.0,VP,High
157,Unknown,26.0,423000.0,Owner,High
158,Unknown,64.0,748000.0,Owner,Medium
159,Unknown,,,Chief Officier,Medium
160,Unknown,61.0,679000.0,Owner,Low
161,Unknown,61.0,750000.0,VP,Higd
162,Advisory,46.0,517000.0,Chief Officier,Medium
163,Unknown,51.0,627000.0,Chief Officier,High
164,Unknown,62.0,697000.0,Owner,Medium
165,Unknown,24.0,377000.0,Owner,Low
166,Unknown,,,Owner,Medium
167,Unknown,49.0,652000.0,Chief Officier,Higd
168,Unknown,53.0,601000.0,Owner,High
169,Unknown,48.0,660000.0,Chief Officier,Medium
170,Unknown,33.0,425000.0,Chief Officier,Medium
171,Unknown,,,Owner,High
172,Advisory,57.99999999999999,707000.0,Owner,High
173,Unknown,56.00000000000001,593000.0,VP,Low
174,Unknown,68.0,726000.0,VP,High
175,Unknown,,,VP,High
176,Unknown,48.0,2874999.9999999995,Chief Officier,Medium
177,Unknown,52.0,644000.0,Chief Officier,Medium
178,Unknown,,,Owner,High
179,Unknown,18.0,285999.99999999994,Chief Officier,Medium
180,Unknown,18.0,203000.0,VP,High
181,Unknown,57.99999999999999,662000.0,Vr,High
182,Advisory,33.0,382000.0,VP,Medium
183,Unknown,,,Chief Officier,Medium
184,Unknown,29.0,330000.0,VP,Low
185,Unknown,46.0,629000.0,Chief Officier,High
186,Unknown,31.0,360000.0,Chief Officier,Low
187,Unknown,,,Chief Officier,Medium
188,Unknown,61.0,625000.0,VP,Medium
189,Unknown,46.0,579999.9999999999,Owner,Medium
190,Unknown,38.0,430000.0,Chief Officier,Low
191,Unknown,45.0,518000.0,Chief Officier,Low
192,Advisory,61.0,674000.0,Owner,Medium
193,Unknown,47.0,636000.0,Owner,High
194,Unknown,40.0,2325000.0,Chief Officier,High
195,Unknown,29.0,448000.0,Owner,High
196,Unknown,56.00000000000001,675000.0,Owner,High
197,Unknown,31.0,373000.0,Chief Officier,Low
198,Unknown,52.0,562999.9999999999,VP,High
199,Unknown,28.000000000000004,364000.0,VP,High
200,Unknown,19.0,215000.0,VP,Medium
